Suburb,Postcode,03-2000,06-2000,09-2000,12-2000,03-2001,06-2001,09-2001,12-2001,03-2002,06-2002,09-2002,12-2002,03-2003,06-2003,09-2003,12-2003,03-2004,06-2004,09-2004,12-2004,03-2005,06-2005,09-2005,12-2005,03-2006,06-2006,09-2006,12-2006,03-2007,06-2007,09-2007,12-2007,03-2008,06-2008,09-2008,12-2008,03-2009,06-2009,09-2009,12-2009,03-2010,06-2010,09-2010,12-2010,03-2011,06-2011,09-2011,12-2011,03-2012,06-2012,09-2012,12-2012,03-2013,06-2013,09-2013,12-2013,03-2014,06-2014,09-2014,12-2014,03-2015,06-2015,09-2015,12-2015,03-2016,06-2016,09-2016,12-2016,03-2017,06-2017,09-2017,12-2017,03-2018,06-2018,09-2018,12-2018,03-2019,06-2019,09-2019,12-2019,03-2020,06-2020,09-2020,12-2020,03-2021,06-2021,09-2021,12-2021,03-2022,06-2022,09-2022,12-2022,03-2023,06-2023,09-2023,12-2023,03-2024
ABBOTSFORD,3067,135,140,140,135,140,145,145,150,150,150,150,155,165,168,170,170,180,180,175,180,178,180,200,240,245,250,250,240,250,265,270,280,291,305,305,310,318,320,320,330,330,330,327,330,350,350,360,365,360,360,360,360,360,360,370,375,380,380,365,365,365,370,375,377,380,380,380,380,390,390,395,400,400,400,400,410,410,420,420,420,420,418,410,390,370,360,350,350,360,375,390,400,425,450,460,475,494
ALBERT PARK,3206,165,165,170,175,180,185,190,190,195,200,215,215,220,210,200,200,200,205,210,215,220,220,220,220,220,220,220,220,220,238,250,250,260,270,280,290,295,295,295,295,300,300,300,300,315,320,320,325,330,330,330,330,330,330,320,320,320,320,320,320,320,320,320,320,325,325,325,330,340,340,350,350,350,350,350,350,350,350,360,370,370,355,350,350,340,330,325,320,315,325,340,350,360,370,395,400,425
ALFREDTON,3350,80,80,80,80,85,85,85,85,85,90,90,90,90,90,95,95,95,95,95,95,95,100,100,105,105,105,105,105,110,110,110,110,110,115,115,115,120,120,120,125,125,130,130,133,135,140,140,140,140,145,150,150,150,150,150,150,150,150,150,150,150,150,155,155,160,160,160,160,160,160,160,160,165,165,165,165,170,175,180,180,180,180,180,180,180,185,190,200,210,210,213,220,233,238,240,240,240
ALPHINGTON,3078,120,120,125,128,130,130,130,130,135,135,140,145,149,150,150,150,150,150,155,155,155,155,160,160,160,160,160,165,165,175,180,185,195,200,205,215,220,230,240,240,245,250,250,251,255,260,255,258,260,260,260,265,265,265,265,270,270,275,275,275,275,275,275,280,280,280,280,285,280,290,290,290,295,300,300,300,300,300,300,300,310,300,300,300,300,300,290,290,280,285,290,300,316,320,328,350,360
ALTONA,3018,95,100,105,105,105,105,110,110,115,115,120,120,120,123,120,120,120,120,125,125,125,130,130,140,135,140,142,140,150,150,150,160,165,170,180,185,190,200,200,200,205,210,210,210,220,220,215,215,215,220,220,220,228,230,230,230,240,240,240,240,248,250,250,250,250,250,250,250,260,260,263,270,270,280,290,288,295,300,285,290,290,290,295,290,280,280,280,280,285,280,285,285,286,300,300,310,320
ARMADALE,3143,150,150,155,160,160,160,165,165,165,170,170,170,170,175,180,180,180,180,180,180,185,185,190,190,185,190,195,200,215,215,220,225,230,235,241,250,260,265,270,270,280,280,285,290,291,298,300,300,310,310,310,310,305,300,300,300,300,310,310,310,310,310,310,310,310,310,320,320,320,325,355,383,395,398,360,355,360,360,360,360,375,368,350,350,350,350,330,315,310,320,338,350,360,385,400,408,430
ASCOT VALE,3032,115,120,120,120,125,125,125,130,130,130,135,140,137,140,137,140,140,140,145,150,150,150,150,150,150,155,156,164,170,170,180,180,195,200,210,220,230,230,235,235,240,240,240,250,250,250,250,250,255,250,250,250,250,250,255,260,260,260,265,270,270,276,280,279,280,280,282,280,288,300,300,310,313,310,300,330,360,355,355,350,336,340,350,345,336,330,330,325,325,325,330,340,350,365,380,390,420
ASHBURTON,3147,165,165,165,165,165,169,169,169,150,150,150,-,-,-,165,163,160,160,150,153,160,160,160,150,160,160,165,165,165,167,165,165,180,180,180,180,200,196,200,200,210,215,220,218,215,210,213,215,220,220,220,220,220,220,240,245,230,230,230,225,280,280,283,285,295,340,340,255,250,255,255,350,345,285,270,270,270,280,292,290,295,295,290,300,320,300,305,305,280,298,295,280,295,305,335,350,350
ASPENDALE,3195,103,105,110,110,110,110,110,110,115,115,120,123,120,120,125,125,130,130,130,130,133,135,135,135,135,135,135,135,150,150,155,160,165,165,180,193,218,220,215,220,220,225,225,245,240,240,240,250,250,245,245,240,245,258,280,280,275,300,250,250,250,250,262,275,280,280,280,280,290,295,300,300,300,305,310,295,300,283,280,280,273,280,280,295,300,308,310,315,310,300,300,300,320,350,350,350,350
AVONDALE HEIGHTS,3034,110,120,120,125,120,120,125,128,130,140,140,140,140,140,140,140,150,150,150,150,140,145,143,145,150,150,150,150,163,165,170,185,190,195,200,200,200,200,200,200,200,201,220,220,240,233,233,250,250,250,250,250,258,273,278,280,300,293,300,280,280,280,295,300,315,320,320,320,330,330,333,340,340,340,340,343,345,350,350,350,350,350,350,350,335,325,320,320,320,325,335,340,350,360,375,400,415
